"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",1.13476140271314,27,0.266449411101602,0.392662290044466
"E_Trias vs L_Trias",0.524906264646205,21,0.605146235520541,0.736699764981528
"E_Trias vs E_Jur",2.67803160930348,34,0.0113227356839043,0.0528394331915534
"E_Trias vs M_Jur",-1.64638405118164,12,0.125603432122828,0.206876241143482
"E_Trias vs L_Jur",0.818662195277855,26,0.420419712391594,0.560559616522125
"E_Trias vs E_Cret",0.0174791078698757,22,0.98621195361057,0.98621195361057
"E_Trias vs L_Cret",-2.2658295833098,12,0.0427587121910509,0.0997703284457854
"M_Trias vs L_Trias",-0.476776742031199,28,0.637221135646419,0.743424658254156
"M_Trias vs E_Jur",1.88833042413253,41,0.0660712202771361,0.132142440554272
"M_Trias vs M_Jur",-2.56382646245158,19,0.0189932606838437,0.0673915622067114
"M_Trias vs L_Jur",-0.415087224568034,33,0.680764479048848,0.762456216534709
"M_Trias vs E_Cret",-1.2871505687272,29,0.208220832236297,0.323899072367574
"M_Trias vs L_Cret",-3.48658186308185,19,0.00246939199676599,0.0228601492663602
"L_Trias vs E_Jur",1.98417589435011,35,0.0551213505436283,0.118722908863199
"L_Trias vs M_Jur",-1.92310343156562,13,0.0766479203579178,0.143076118001447
"L_Trias vs L_Jur",0.155359001769233,27,0.877693960674387,0.91461419493852
"L_Trias vs E_Cret",-0.582323278777567,23,0.56601428718018,0.720381820047502
"L_Trias vs L_Cret",-2.6070124090017,13,0.0217150769924954,0.0673915622067114
"E_Jur vs M_Jur",-3.48247554842825,26,0.0017733831571809,0.0228601492663602
"E_Jur vs L_Jur",-2.34513386487583,40,0.0240684150738255,0.0673915622067114
"E_Jur vs E_Cret",-3.0676266944529,36,0.00408216951185003,0.0228601492663602
"E_Jur vs L_Cret",-4.64174333757963,26,8.65396395033358e-05,0.0024231099060934
"M_Jur vs L_Jur",2.40067676037536,18,0.0273887952400158,0.0697169333382221
"M_Jur vs E_Cret",1.83185259310406,14,0.0883300808295595,0.154577641451729
"M_Jur vs L_Cret",-0.158220588769462,4,0.881949402262145,0.91461419493852
"L_Jur vs E_Cret",-0.923472674961755,28,0.363651077625529,0.509111508675741
"L_Jur vs L_Cret",-3.29141056847672,18,0.00405750018514039,0.0228601492663602
"E_Cret vs L_Cret",-2.54435506988955,14,0.023371809654894,0.0673915622067114
