bin,start,end,appstage
1,251.3,241.3,Olenekian–Ladinian
2,241.3,231.3,Ladinian–Carnian
3,231.3,221.3,Carnian–Norian
4,221.3,211.3,Norian
5,211.3,201.3,Norian–Rhaetian
6,201.3,191.3,Hettangian–Sinemurian
7,191.3,181.3,Sinemurian–Toarcian
8,181.3,171.3,Toarcian–Aalenian
9,171.3,161.3,Aalenian–Oxfordian
10,161.3,151.3,Oxfordian–Tithonian
11,151.3,141.3,Tithonian–Berriasian
12,141.3,131.3,Berriasian–Hauterivian
13,131.3,121.3,Hauterivian–Aptian
14,121.3,111.3,Aptian–Albian
15,111.3,101.3,Albian
16,101.3,91.3,Albian–Turonian
