Taxon,sklen,lsklen,refs
Acamptonectes densus,1000,3.000,Fischer2012PO
Aegirosaurus leptospondylus,570,2.756,Bardet2000JP
Barracudasauroides panxianensis,212,2.326,Jiang2006JVP
Besanosaurus leptorhynchus,510,2.708,DalSasso1996PL
Brachypterygius extremus,1155,3.062,Moon2018MPS
Callawayia neoscapularis,453,2.656,{Sander1997,Nicholls2001CJES}
Cartorhynchus lenticarpus,55,1.740,Motani2015N
Caypullisaurus bonapartei,1300,3.114,Fernandez1997JP
Chacaicosaurus cayi,980,2.991,Fernandez1994A
Chaohusaurus geishanensis,117,2.068,{Motani2014PO,Motani2015JVP}
Contectopalatus atavus,130,2.114,{Maisch2000L,Liu2013P}
Cryopterygius kristiansenae,1220,3.086,Druckenmiller2012NJG
Cymbospondylus petrinus,1166,3.067,Merriam1908MUC
Eurhinosaurus longirostris,1250,3.097,{vonHuene1951NJGPA,McGowan1986N}
Excalibosaurus costini,1540,3.188,{McGowan2003JVP,McGowan1986N}
Guizhouichthyosaurus tangae,800,2.903,Pan2006ASNUP
Guizhouichthyosaurus wolonggangense,645,2.810,Chen2007GC
Gulosaurus helmi,87,1.940,{Brinkman1992P,Cuthbertson2013JVP}
Hauffiopteryx typicus,380,2.580,{Maisch2008P,Caine2011P,Marek2015P}
Hudsonelpidia brevirostris,131,2.117,McGowan1995CJES
Hupehsuchus nanchangensis,126,2.100,Carroll1991PTRSBBS
Ichthyosaurus anningae,390,2.591,{Lomax2015JVP}
Ichthyosaurus breviceps,240,2.380,McGowan1974LSCROMa
Ichthyosaurus communis,256,2.408,McGowan1974LSCROMa
Ichthyosaurus conybeari,216,2.334,McGowan1974LSCROMa
Ichthyosaurus larkini,355,2.550,{Lomax2017PP}
Ichthyosaurus somersetensis,438,2.641,{Lomax2017PP}
Leptonectes moorei,328,2.516,McGowan1999P
Leptonectes solei,1585,3.200,McGowan1993CJES
Leptonectes tenuirostris,523,2.719,{McGowan1989P,McGowan2003HoP}
Macgowania janiceps,505,2.703,{McGowan1996CJES}
Mixosaurus cornalianus,195,2.290,{Repossi1902ADSISNEMCSNM,McGowan2003HoP}
Mixosaurus kuhnschneyderi,160,2.204,Brinkmann1998NJFGPA
Mixosaurus xindianensis,223,2.348,Chen2010APS
Nannopterygius enthekiodon,600,2.778,Moon2018MPS
Ophthalmosaurus icenicus,965,2.985,Moon2016MPS
Ophthalmosaurus natans,1082,3.034,Gilmore1905MCM
Palvennia hoybergeti,860,2.934,Druckenmiller2012NJG
Parvinatator wapitiensis,120,2.079,Nicholls1995Vfateosc
Phalarodon callawayi,300,2.477,Schmitz2004PAP
Phalarodon fraasi,205,2.312,{Jiang2007JP,Okland2018NJG}
Phantomosaurus neubigi,550,2.740,Sander1997AMR
Platypterygius americanus,1250,3.097,Romer1968CGUSC
Platypterygius australis,1430,3.155,{Wade1984L,Wade1990MQM}
Platypterygius hercynicus,1040,3.017,Kolb2009PAPS
Platypterygius platydactylus,1170,3.068,Broili1908NJFMGPB
Platypterygius sachicarum,870,2.940,Paramo1997RI
Qianichthyosaurus xingyiensis,270,2.431,Yang2013ASNUP
Qianichthyosaurus zhoui,240,2.380,Li1999CSB
Sclerocormus parviceps,100,2.000,Jiang2016SR
Shastasaurus liangae,750,2.875,Yin2000GG
Shastasaurus sikkaniensis,3000,3.477,Nicholls2004JVP
Shonisaurus popularis,2750,3.439,Camp1980PAPS
Stenopterygius quadriscissus,625,2.796,{Maisch2008P,Maxwell2012JP}
Stenopterygius triscissus,634,2.802,{Maisch2008P,Maxwell2012JP}
Stenopterygius uniter,537,2.730,{Maisch2008P,Maxwell2012JP}
Suevoleviathan disinteger,860,2.934,{vonHuene1922,Maisch1998NJGPAd}
Suevoleviathan integer,690,2.839,{vonHuene1922,Maisch1998NJGPAd}
Sveltonectes insolitus,570,2.756,{Fischer2011JVP}
Temnodontosaurus azerguensis,1700,3.230,{Martin2012P}
Temnodontosaurus eurycephalus,1020,3.009,McGowan1974LSCROM
Temnodontosaurus platyodon,1790,3.253,McGowan1974LSCROM
Temnodontosaurus trigonodon,1090,3.037,{Fraas1891,vonHuene1922}
Thalattoarchon saurophagis,1200,3.079,Frobisch2013PNAS
Utatsusaurus hataii,215,2.332,Shikama1978SRTUGa
Wimanius odontopalatus,250,2.398,{Maisch1998NJGPM,Maisch1999NJFGPM}
Xinminosaurus catactes,290,2.462,Jiang2008PNS
